UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
UEI-IMD-FL-2015-0041,2015-01-10,2015-04-10,90,Heavy rains,NA,"Bagalkot, Belgaum, Bellary, Chitradurga, Davangere, Dharwad, Gulbarga, Tumkur ",KARNATAKA,NA,NA,NA,NA,4,NA,NA,NA,4 died,"Damage to crops standing crops of Sugarcane, Tobacco & sowing grains of Jowar, Cotton, and Paddy crops reported. ii) Damage to several houses reported. iii)  A small bridge collapsed causing inundating the road & disruption in traffic. iv)  Several trees uprooted.",IMD,NA
UEI-IMD-FL-2015-0042,2015-02-11,2015-02-11,0,Heavy rains,NA,Chitradurga,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 houses collapsed,IMD,NA
UEI-IMD-FL-2015-0043,2015-03-03,2015-09-03,184,Heavy rains,NA,"Alappuzha, Ernakulam, Kottayam, Malappuram, Thrissur,  Pathanamthitta",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Damage to Paddy fields, vegetable plantations, thousands of Banana crops, Betel-leaves, Tapioca, Yam, Nutmeg Coconut trees, fruit crops etc. reported. ii) Roof of Co-operative bank building & a school building blown away causing damage to all files in the staff-room.  iii) Rice sacks kept for afternoon meals for school children extensively damaged in Pathanamthitta Dist. iv) Damage to several houses reported. v) Several trees / electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply",IMD,NA
UEI-IMD-FL-2015-0044,2015-03-13,2015-03-17,4,Heavy rains,NA,"Alappuzha, Kottayam, Thrissur, Thiruvananthapuram ",KERALA,NA,NA,NA,NA,NA,3,NA,NA,3 person injured Thiruvananthapuram Dist.,"Damage to thousands of Banana crops, vegetable plantation & Coconut, Teak, Jackfruit, Nutmeg trees reported. ii) Damage to several houses reported. iii) Boat capsized causing damage to several fishing equipments. In Alappuzha Dist. iv) Rs.12 lakhs worth damage reported.  v) Several trees / electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply. vi) Several electric cable lines damaged completely",IMD,NA
UEI-IMD-FL-2015-0045,2015-03-27,2015-03-31,4,Heavy rains,NA,"Alappuzha, Pathanamthitta ",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to around 3500 Banana plantation uprooted. Damage to Tapioca, Bitter gaud crops & Cashew, Jackfruit, Peepal trees reported. ii) Damage to 3 acers of cultivation land & Gingily crops reported.  iii) Several road side trees uprooted causing disruption in vehicular traffic. iv) Several electric cable lines damaged causing disruption in power supply. v) Damage to worth Rs.15 lakhs according to Agriculture Department reported. vi) Partial damage to 58 houses in Haripad town reported",IMD,NA
UEI-IMD-FL-2015-0046,2015-06-04,2015-10-04,122,Heavy rains,NA,"Alappuzha, Ernakulam, Palakkad, Idukki, Kollam ",KERALA,NA,NA,NA,NA,NA,1,NA,NA,1 person injured,"Damage to 250 acres of Paddy crops, 500 Banana plantation, vegetables & Gingili crops reported.  ii) Damage to worth Rs.30,000/- reported. iii) Several trees / electric poles uprooted causing disruption in vehicular traffic & power supply for few hours.",IMD,NA
UEI-IMD-FL-2015-0047,2015-11-04,2015-04-16,Diffing the dates,Heavy rains,NA,"Ernakulam, Idukki, Kollam, Kozhikode,  Malappuram,  Pathanamthitta, Thiruvananthapuram,Wayanad ",KERALA,NA,NA,NA,NA,NA,5,NA,NA,5 persons injured,"i) Damage to more than 12,000 Banana plantation, more than 350 acres of vegetable cultivation & Teak, Rubber trees reported. ii) Damage to several houses reported.  iii) Approx Rs. 8 lakhs worth damage reported.  iv) Several trees uprooted & fell across the road causing damage to small vendors & traffic disruption",IMD,NA
UEI-IMD-FL-2015-0048,2015-04-19,2015-04-25,6,Heavy rains,NA,"Alappuzha, Idukki, Kasaragod, Kannur, Malappuram,  Palakkad, Pathanamthitta,  Thiruvananthapuram",KERALA,NA,NA,NA,NA,1,13,NA,NA,2 persons injured in Idukki Dist. 3 persons injured in Kannur Dist. due to wall collapsed. One person injured in Malappuram Dist. 2 persons injured in Palakkad Dist. One person died &  5 persons seriously injured in Thiruvananthapuram Dist.,"Alappuzha: i) Vegetable crops e.g. Beans, Pumkin, Cucumber submerged. ii) Alappuzha ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œ Kottayam Pathanamthitta road traffic disrupted iii) Several areas submerged. iv) Low-lying areas flooded. Idukki: i) Severe damage to Agriculture crops including Rubber Teak, Banana, Arecanut, Cardmon and Coconut reported. ii) Damage to 3 houses fully & 4 houses partially reported Kasaragod: i) Damage to 50 houses fully & 20 houses partially reported. ii) Damage to 15,000 Banana plantation, Rubber, Nutmeg, Coconut & more than 100 acres of agriculture crops reported. iii) Loss worth cores as per Krishi Bhavan authorities reported Kannur : Damage to Banana & vegetable crops reported. Malappuram: i) Damage to 100 acres of agricultural land & 2220 Banana plantation reported. ii) Loss worth lakhs rupees reported. iii) Several trees including 25 Coconut, Arecanuts uprooted. Palakkad: i) Damage to more than 10,000 Banana crops reported. ii) Damage to more than 20 houses reported. iii) Rs.1.5 crores worth damage estimated. iv) Several trees, 25 electric poles uprooted causing disruption in vehicular traffic & power supply. Pathanamthitta:  i) Damage to 20 acres of agricultural land reported. ii) 15 shops inundated. iii) Damage to several vehicles, computers and motors of different shops reported. Thiruvananthapuram: i) Extensive damage to Agricultural crops Banana, Tapioca,    vegetable in Meenmootil, Vamanapuram, Nelimood, Neyyattinkara, Vellarada etc. reported. ii) City area, Coastal areas, low-lying areas & several houses in Poovar, Kanjiramkulam, Pulluvilla & Vanjiyoor police station flooded. iii) Damage to about one hundred houses reported. iv) Damage to Thycaud-Women & child hospital reported. v) Several trees/electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply. vi) Loss worth lakhs of  rupees reported. ",IMD,NA
UEI-IMD-FL-2015-0049,2015-04-26,2015-04-30,4,Heavy rains,NA,"Alappuzha, Ernakulam, Kannur, Kottayam, Malappuram, Pathanamthitta Thiruvananthapuram,Wayanad",KERALA,NA,NA,NA,NA,NA,2,NA,NA,One person injured in Kannur Dist. One person injured in Kottayam Dist.,"Alappuzha : i) More than 200 fishermen families affected. ii) Damage to 7 boats, nets, engine & fishing equipments in NeerkunamPounnapra coastal area reported. iii) Around 15 lakhs rupees worth damage reported Ernakulam: i) Damage to 200 Banana & Rubber Coconut, vegetable crops reported. ii) Damage to Agriculture crops worth lakhs of rupees reported. iii) Damage to several houses reported. iv) Irrigation & drinking water supply disrupted. Kannur: i) Damage to 50 houses reported. ii) Damage to 300 acres of agriculture crops reported. Kottayam: i) Damage to hundreds of Rubber, Banana, Tapioca, Teak Coconut & vegetable crops reported. ii) Damage to few houses reported. Malappuram: i) Around 5000 hectares of Paddy fields flooded. ii) Seeds ready for harvest, fell & got sprouted. Pathanamthitta : i) Damage to 2500 Tapioca plantation reported. ii) Damage to 5 houses reported. Thiruvananthapuram & Wayanad i) Thousands of Banana plantations uprooted. ii) Several electric cable lines damaged. ",IMD,NA
UEI-IMD-FL-2015-0050,2015-03-05,2015-05-05,61,Heavy rains,NA,"Ernakulam, Idukki, Kannur, Palakkad, Thrissur, Thiruvananthapuram",KERALA,NA,NA,NA,NA,NA,2,NA,NA,2 persons injured as uprooted tree fell over the ca,"i) Damage to more than 2500 Banana crops reported & severe loss to Nutmeg, Tapioca & vegetable reported. ii) Damage to more than 80 houses reported. iii) Damage to portion of a school building, portion of a mosque reported. iv) Damage to several electric cable lines including 11 KV electric lines reported. v) Several trees uprooted causing disruption in vehicular traffic & power supply",IMD,NA
UEI-IMD-FL-2015-0051,2015-07-05,2015-09-05,62,Heavy rains,NA,"Kottayam, Palakkad, Thrissur",KERALA,NA,NA,NA,NA,NA,1,NA,NA,One person injured in Palakkad Dist,"Kottayam : i) Damage to Agriculture crops reported. ii) Transformer collapsed. iii) Damage to few houses reported. iv) Damage worth Rs. 4 lakhs reported by KSEB (Kerala State Electricity Board) authorities. Palakkad & Thrissur: i) Damage to more than 70 houses (Pookotkavu village - 40, Srikrishnapuram village - 29) reported. ii) Damage to around 400 plantations reported. iii) 15 Rubber trees & more than 50 electric poles uprooted causing disruption in vehicular traffic & power supply. iv) Damage to Anganwadi building reported as uprooted tree fell over it. v) Water supply disrupted for 2 days",IMD,NA
UEI-IMD-FL-2015-0052,2015-10-05,2015-05-14,Diffing the dates,Heavy rains,NA,"Ernakulam, Idukkai, Kannur, Kasaragod, Kollam, Kozhikode, Mallapuram, Palakkad, Thrissur, Wayanad",KERALA,NA,NA,NA,NA,NA,4,NA,NA,4 persons injured,"i) Damage to Agriculture crops Banana, Rubber crops & 500 acres of Paddy fields reported. ii) Damage to several houses reported. iii) Water logging in low lying areas. iv) Loss worth Rs.60,000/-. v) Well caved in. vi) A huge tree uprooted & fell across Kozhikode-Vythiri-Ooty State Highway causing traffic disruption",IMD,NA
UEI-IMD-FL-2015-0053,2015-05-15,2015-05-28,13,Heavy rains,NA,"Kasaragod, Kollam, Thiruvananthapuram",KERALA,NA,NA,NA,NA,5,15,NA,NA,"5 persons died in Pozhiyoor, Thiruvananthapuram Dist. 15 persons injured in Thiruvananthapuram Dis","Kasaragod: Worth rupees One lakh damage reported. Kollam: i) Extensive damage to Agricultural crops mainly Banana, Tapioca crops reported. ii) 6 houses inundated. iii) Low-lying areas, fields & NeduvathurPalmootti canal flooded. iv) Damage to house-hold electric appliances & wiring reported. v) Several trees uprooted causing disruption in vehicular traffic & power supply. Thiruvananthapuram: i) Agriculture crops including Banana, Rubber crops submerged. ii) Around 650 farmers affected. iii) Low-lying areas flooded. iv) Damage to more than 300 houses reported. v) People shifted to relief camps. vi) Eastfort, Killipalam, Karmana, Poojappura & Pazhavangadi areas innundated. vii) Thampanoor railway station, Bus stand, bus terminus flooded. viii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply. ix) Varkala beach area affected",IMD,NA
UEI-IMD-FL-2015-0054,2015-08-06,2015-06-16,Diffing the dates,Heavy rains,NA,"Alappuzha, Kannur, Kollam, Thrissur, Thiruvananthapuram",KERALA,NA,NA,NA,NA,1,1,NA,NA,One person injured in Kollam Dist. One person died due to wall collapsed in Thrissur Dist.,Alappuzha : i) Damage to two acres of Banana crops reported. ii) Damage to 10 houses reported. iii) 26 families of 90 persons shifted to relief camps. iv) Water supply disrupted in beach areas. Kannur : District office of Kerala Aided School EmployeesÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ Provident fund caved in. Kollam :  Damage to a house reported as coconut tree uprooted fell over it. Thrissur :i) Damage to 5 houses reported. ii) Low-lying areas inundated. iii) Severe waterlogging in the low-lying areas.Thiruvananthapuram : i) Damage to 15 houses reported. ii) Damage to Fiber boat factory reported. iii) Around One lakh rupees worth damage reported.  iv) Several trees uprooted.,IMD,NA
UEI-IMD-FL-2015-0055,2015-06-19,2015-06-29,10,Heavy rains,NA,"Alappuzha, Ernakulam, Idukki, Kasaragod, Kottayam, Kozhokode, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram, Wayanad ",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IMD,NA
UEI-IMD-FL-2015-0056,2015-07-18,2015-07-20,2,Heavy Rain,NA,Kannur,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy Rain ,i) Damage to 465 hectares of land & Rs. 3.76 crore of crops reported. ii) Damage to 8 houses fully & 416 houses partially reported. Property loss of Rs.97.92 lakh reported.,IMD,NA
UEI-IMD-FL-2015-0057,2015-12-08,2015-12-08,0,Heavy Rain,NA,Kannur,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Complete damage to one house reported. ii) 2 lakhs rupees worth damage reported.   ,IMD,NA
UEI-IMD-FL-2015-0058,2015-05-09,2015-06-09,31,Heavy Rain,NA,"Pathanamthitta, Thiruvananthapuram ",KERALA,NA,NA,NA,NA,NA,NA,NA,3000,Around 3000 hens perished in Thiruvananthapuram,"Pathanamthitta : Loss of worth Rs.3 lakhs reported as compound wall of a house collapsed. Thiruvananthapuram : i) Damage to Agricultural crops including Rubber plantation, Banana, Tapioca worth crores reported. ii) Damage to several shops, workshops, Govt. Dept., houses, bridges Oil-mill completely submerged causing damage worth Rs.8 lakhs. iii) Medicines of worth Rs.3 lakhs damaged, as Anand Veterinary hospital inundated. iv) Low lying areas inundated. v) 200 houses marooned.",IMD,NA
