Latitude,Longitude,Rainfall (mm),Temperature (°C),Humidity (%),River Discharge (m³/s),Water Level (m),Elevation (m),Land Cover,Soil Type,Population Density,Infrastructure,Historical Floods,Flood Occurred
0.37463861340922644,0.37357008499039224,0.7300576127993109,0.6382770047578165,0.2989086329506222,0.8472863847023531,0.7417154574247198,0.0425419355201469,Water Body,Clay,0.7276723135822654,1.0,0.0,1.0
0.9509822237862711,0.3328318741028867,0.1844910189831684,0.4593862200178351,0.09480526616570328,0.4945426044704163,0.8813431476684741,0.828585824982913,Forest,Peat,0.6897599641494702,0.0,1.0,0.0
0.7321975449221148,0.17603717010547948,0.3466425778511413,0.9647015227608439,0.12634812243680843,0.19547061432139473,0.46317851002324495,0.24924110556959153,Agricultural,Loam,0.43605897669308064,1.0,1.0,1.0
0.598822880295374,0.6072503649090032,0.663330119924433,0.21902025879276765,0.18066244746097548,0.7366839912315941,0.2890763444116696,0.2838797174683749,Desert,Sandy,0.6162703138226014,1.0,1.0,0.0
0.15605287922072447,0.476577419268329,0.48211216193305584,0.5879779795026727,0.20364567844175901,0.41869848320026326,0.31876141170472483,0.22617292129907324,Agricultural,Loam,0.6167599555300473,1.0,0.0,0.0
0.15602875202202382,0.8657448950945542,0.7386316020800499,0.7003558706454138,0.2422558748731543,0.5946599258843257,0.6970826146889935,0.8401681129939892,Agricultural,Loam,0.5376927125210709,0.0,0.0,1.0
0.05808905335630432,0.03195927978737745,0.9613012298101382,0.825737448092102,0.25545468314631437,0.10726423089457071,0.5676172687002075,0.9790215486032895,Water Body,Silt,0.6038685118940648,0.0,0.0,1.0
0.8664192048820101,0.643860149431093,0.11651570874449041,0.40705348441301886,0.45571992927537675,0.63161897237096,0.4865063014551567,0.7552491618313866,Agricultural,Clay,0.39934104128279446,0.0,1.0,1.0
0.601280130178332,0.7629688429158104,0.7096240114666145,0.6870648902697188,0.5095791761379133,0.3735677343474657,0.20262152654117488,0.8236578095646117,Forest,Silt,0.6782768089004596,0.0,0.0,0.0
0.7082691468797103,0.7595057269713998,0.2303299240686702,0.30326148918685136,0.30887624431728805,0.33420428942856784,0.8756936819970176,0.6205286295229104,Urban,Silt,0.22684508604557196,0.0,1.0,0.0
0.020578908946745522,0.8861226161989207,0.41448959436596644,0.43556470947189513,0.9073201400606701,0.9799745062564289,0.7812036146191443,0.528779689482366,Urban,Clay,0.8533251591654777,1.0,0.0,1.0
0.9701834139484204,0.7290458059564747,0.032819431177895986,0.8958152383060507,0.5531476513207719,0.43245193563679873,0.14044997477399768,0.721631946255856,Urban,Peat,0.8509683722741637,1.0,1.0,1.0
